Card,Fetch,Collectr,TCGPlayer
GD04-033 Neo Zeong,https://www.fetchtcg.com/cards/gdm_pa-GD04-033_LR+_L_holofoil/gundam-neo-zeong-lr-phantom-aria-holofoil-l,https://app.getcollectr.com/explore/product/691966/gundam-card-game-phantom-aria-neo-zeong-lr-gd04-033,https://www.tcgplayer.com/product/691966/gundam-card-game-phantom-aria-neo-zeong-lrplus?Language=all&page=1
GD04-034 Gundam Kyrios,https://www.fetchtcg.com/cards/gdm_pa-GD04-034_LR+_L_holofoil/gundam-gundam-kyrios-lr-phantom-aria-holofoil-l,https://app.getcollectr.com/explore/product/691960/gundam-card-game-phantom-aria-gundam-kyrios-lr-gd04-034,https://www.tcgplayer.com/product/691960/gundam-card-game-phantom-aria-gundam-kyrios-lrplus?Language=all&page=1
GD04-036 Gundam Throne Eins,https://www.fetchtcg.com/cards/gdm_pa-GD04-036_R+_R_holofoil/gundam-gundam-throne-eins-r-phantom-aria-holofoil-r,https://app.getcollectr.com/explore/product/691955/gundam-card-game-phantom-aria-gundam-throne-eins-r-gd04-036,https://www.tcgplayer.com/product/691955/gundam-card-game-phantom-aria-gundam-throne-eins-rplus?Language=all&page=1
GD04-042 Psycho Gundam (GQ),https://www.fetchtcg.com/cards/gdm_pa-GD04-042_U+_GU_holofoil/gundam-psycho-gundam-gq-u-phantom-aria-holofoil-gu,https://app.getcollectr.com/explore/product/691941,https://www.tcgplayer.com/product/691941/gundam-card-game-phantom-aria-psycho-gundam-gq-uplus?Language=all&page=1
GD04-049 Gundam DX,https://www.fetchtcg.com/cards/gdm_pa-GD04-049_LR+_L_holofoil/gundam-gundam-dx-lr-phantom-aria-holofoil-l,https://app.getcollectr.com/explore/product/691964/gundam-card-game-phantom-aria-gundam-dx-lr-gd04-049,https://www.tcgplayer.com/product/691964/gundam-card-game-phantom-aria-gundam-dx-lrplus?Language=all&page=1
GD04-050 Destiny Gundam,https://www.fetchtcg.com/cards/gdm_pa-GD04-050_LR+_L_holofoil/gundam-destiny-gundam-lr-phantom-aria-holofoil-l,https://app.getcollectr.com/explore/product/691943/gundam-card-game-phantom-aria-destiny-gundam-lr-gd04-050,https://www.tcgplayer.com/product/691943/gundam-card-game-phantom-aria-destiny-gundam-lrplus?Language=all&page=1
GD04-053 Rey's Blaze Zaku Phantom,https://www.fetchtcg.com/cards/gdm_pa-GD04-053_R+_R_holofoil/gundam-reys-blaze-zaku-phantom-r-phantom-aria-holofoil-r,https://app.getcollectr.com/explore/product/691950/gundam-card-game-phantom-aria-rey-s-blaze-zaku-phantom-r-gd04-053,https://www.tcgplayer.com/product/691950/gundam-card-game-phantom-aria-reys-blaze-zaku-phantom-rplus?Language=all&page=1
GD04-065 Unicorn Gundam 02 Banshee Norn (Destroy Mode),https://www.fetchtcg.com/cards/gdm_pa-GD04-065_LR+_DML_holofoil/gundam-unicorn-gundam-02-banshee-norn-destroy-mode-lr-phantom-aria-holofoil-dml,https://app.getcollectr.com/explore/product/691968/gundam-card-game-phantom-aria-unicorn-gundam-02-banshee-norn-destroy-mode-lr-gd04-065,https://www.tcgplayer.com/product/691968/gundam-card-game-phantom-aria-unicorn-gundam-02-banshee-norn-destroy-mode-lrplus?Language=all&page=1
GD04-066 Unicorn Gundam (Awakened),,https://app.getcollectr.com/explore/product/692092/gundam-card-game-phantom-aria-unicorn-gundam-awakened-lr-gd04-066,https://www.tcgplayer.com/product/692092/gundam-card-game-phantom-aria-unicorn-gundam-awakened-lrplus?Language=all&page=1
GD04-067 ∀ Gundam,https://www.fetchtcg.com/cards/gdm_pa-GD04-067_LR+_L_holofoil/gundam-turn-a-gundam-lr-phantom-aria-holofoil-l,https://app.getcollectr.com/explore/product/691952/gundam-card-game-phantom-aria-turn-a-gundam-lr-gd04-067,https://www.tcgplayer.com/product/691952/gundam-card-game-phantom-aria-turn-a-gundam-lrplus?Language=all&page=1
